-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Latitude  -11.7583   Longitude -75.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3769.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2020,8,7,7.38,0.4,3.9,9.28,-260.88,14.79,2.51
2020,8,8,7.46,0.72,4.08,9.26,-257.3,15.37,-0.49
2020,8,9,8.87,3.05,5.96,11.13,-261.63,15.92,4.4
2020,8,10,8.09,2.66,5.38,10.33,-261.7,15.42,3.96
2020,8,11,8.5,-0.48,4.01,10.76,-257.56,17.34,1.76
2020,8,12,8.72,3.55,6.14,10.71,-261.87,15.24,3.96
2020,8,13,10.04,1.88,5.96,12.05,-257.49,19.18,3.51
2020,8,14,8.26,-3.63,2.31,10.4,-256.4,17.9,1.14
2020,8,15,8.02,3.17,5.59,9.8,-259.67,16.28,2.8
2020,8,16,9.3,2.61,5.95,11.52,-261.14,16.73,4.73
2020,8,17,9.86,2.62,6.24,11.93,-258.21,18.26,3.33
2020,8,18,10.97,3.33,7.15,13.23,-259.84,19.05,5.75
2020,8,19,10.72,4.12,7.42,12.6,-259.87,18.32,5.04
2020,8,20,8.21,4.05,6.13,9.92,-262.52,14.05,3.44
2020,8,21,9.76,4.24,7.0,12.06,-262.61,16.25,5.72
2020,8,22,8.87,3.24,6.06,11.27,-260.13,16.84,3.83
2020,8,23,8.91,3.15,6.03,11.55,-258.48,17.82,3.15
2020,8,24,8.85,1.15,5.0,11.55,-258.07,17.67,2.6
2020,8,25,9.08,3.03,6.06,11.54,-258.99,17.09,2.94
2020,8,26,9.79,3.4,6.59,12.36,-259.36,18.25,4.46
2020,8,27,10.11,3.23,6.67,12.79,-259.82,18.42,5.09
2020,8,28,10.34,2.66,6.51,13.07,-259.09,18.7,4.64
2020,8,29,10.54,3.23,6.88,13.13,-259.03,19.08,4.96
2020,8,30,9.66,3.94,6.8,12.19,-262.15,16.63,5.64
2020,8,31,8.45,3.48,5.96,10.99,-262.83,14.83,4.52
2020,9,1,7.23,3.02,5.12,9.2,-263.59,13.31,3.74
2020,9,2,8.61,4.01,6.3,10.98,-261.49,15.87,4.2
2020,9,3,9.79,3.55,6.66,12.44,-259.73,17.56,4.14
2020,9,4,9.1,3.86,6.48,11.58,-259.39,16.74,2.98
2020,9,5,10.24,5.19,7.72,12.23,-263.41,16.15,6.4
2020,9,6,10.94,4.9,7.92,13.49,-261.3,18.28,6.43
2020,9,7,10.62,4.27,7.44,13.28,-258.93,18.8,4.58
2020,9,8,7.18,1.59,4.38,8.67,-263.38,12.51,2.75
2020,9,9,9.13,2.68,5.9,11.33,-260.1,16.73,3.69
2020,9,10,9.46,2.89,6.18,12.32,-260.91,16.9,4.66
2020,9,11,8.98,2.73,5.86,11.73,-259.1,17.04,2.99
2020,9,12,10.16,4.23,7.2,12.76,-261.8,17.49,6.14
2020,9,13,9.59,4.26,6.93,11.92,-263.24,15.98,6.07
2020,9,14,10.36,4.47,7.41,12.86,-261.98,16.95,5.78
2020,9,15,9.44,4.59,7.02,11.51,-263.88,15.4,6.13
2020,9,16,9.75,2.76,6.25,12.35,-259.3,17.76,3.91
2020,9,17,8.56,3.51,6.04,10.81,-260.99,15.28,3.12
2020,9,18,8.58,4.59,6.59,10.37,-261.96,14.55,3.35
2020,9,19,8.74,5.76,7.25,10.07,-265.36,13.69,5.9
2020,9,20,9.8,2.73,6.26,12.58,-258.2,18.44,3.5
2020,9,21,8.78,3.24,6.01,11.11,-260.15,16.01,3.01
2020,9,22,10.69,4.94,7.81,13.54,-260.07,18.65,5.58
2020,9,23,9.8,3.26,6.53,12.51,-261.84,16.5,5.19
2020,9,24,8.97,2.03,5.5,11.92,-259.65,16.55,3.05
2020,9,25,9.68,3.03,6.35,12.58,-259.85,17.37,4.07
2020,9,26,10.23,2.98,6.61,13.31,-258.7,18.58,4.12
2020,9,27,8.48,2.44,5.46,11.37,-258.1,17.59,2.54
2020,9,28,5.8,2.27,4.04,7.78,-263.75,11.92,2.52
2020,9,29,6.9,3.44,5.17,8.65,-265.38,10.94,3.17
2020,9,30,7.8,2.82,5.31,10.14,-261.33,14.7,2.88
2020,10,1,9.72,3.73,6.72,12.55,-259.88,17.6,4.32
2020,10,2,10.34,4.11,7.23,13.22,-259.9,17.91,4.66
2020,10,3,9.61,4.12,6.86,12.02,-261.74,16.71,5.3
2020,10,4,9.09,4.5,6.8,11.34,-263.74,15.09,5.68
2020,10,5,9.66,3.37,6.51,12.51,-260.18,17.25,4.28
2020,10,6,9.67,2.72,6.19,12.51,-260.53,17.14,4.52
2020,10,7,9.76,3.87,6.81,12.39,-260.74,17.76,5.36
2020,10,8,9.67,3.64,6.65,12.19,-262.6,15.89,5.33
2020,10,9,10.33,2.62,6.48,13.28,-259.35,18.24,4.44
2020,10,10,10.1,4.63,7.37,12.58,-263.18,16.3,6.33
2020,10,11,10.23,3.08,6.65,13.12,-260.96,17.66,5.48
2020,10,12,9.79,2.82,6.3,12.7,-260.03,17.69,4.57
2020,10,13,8.27,4.01,6.14,10.92,-260.23,16.04,3.12
2020,10,14,8.35,4.55,6.44,10.49,-262.86,14.06,3.77
2020,10,15,9.58,3.89,6.73,12.24,-258.81,17.11,2.76
2020,10,16,9.62,3.87,6.74,12.62,-260.22,17.55,4.62
2020,10,17,8.61,3.56,6.08,11.37,-261.76,16.12,4.73
2020,10,18,9.66,3.65,6.65,12.71,-260.0,17.76,4.62
2020,10,19,9.75,2.27,6.01,13.4,-256.95,19.98,3.78
2020,10,20,7.58,3.26,5.42,8.97,-263.28,12.91,3.05
2020,10,21,8.7,4.37,6.53,10.58,-263.35,14.88,5.08
2020,10,22,10.43,4.32,7.37,13.28,-259.7,17.95,4.51
2020,10,23,10.55,5.44,7.99,12.95,-260.32,18.04,5.2
2020,10,24,10.4,4.3,7.34,12.75,-258.92,18.01,3.78
2020,10,25,11.45,6.26,8.85,13.83,-261.63,18.36,6.83
2020,10,26,9.94,3.8,6.87,12.05,-258.77,17.97,3.58
2020,10,27,8.26,3.76,6.01,9.64,-262.85,15.2,4.9
2020,10,28,11.08,-1.19,4.94,13.08,-254.54,21.83,3.21
2020,10,29,8.45,5.21,6.83,8.8,-266.75,11.83,5.43
2020,10,30,8.5,4.7,6.6,9.28,-263.49,13.87,4.21
2020,10,31,8.3,3.98,6.15,10.4,-259.6,15.91,2.37
2020,11,1,10.37,4.94,7.65,13.06,-260.34,17.84,5.02
2020,11,2,10.15,4.99,7.57,12.81,-260.75,17.83,5.43
2020,11,3,8.23,4.13,6.19,10.09,-263.27,14.66,4.79
2020,11,4,10.62,5.32,7.98,13.2,-261.04,17.62,5.52
2020,11,5,10.46,5.38,7.92,12.62,-262.97,16.72,6.54
2020,11,6,10.05,4.84,7.45,12.27,-260.51,17.52,4.88
2020,11,7,10.09,3.33,6.72,12.72,-261.34,17.02,5.21
2020,11,8,10.13,3.15,6.64,12.83,-260.46,17.28,4.59
2020,11,9,10.91,5.12,8.01,13.05,-262.02,17.4,6.27
2020,11,10,8.91,4.65,6.79,10.77,-261.58,16.09,4.52
2020,11,11,5.7,3.56,4.63,6.57,-266.48,10.31,3.63
2020,11,12,8.71,4.11,6.4,10.56,-258.68,17.4,2.93
2020,11,13,7.89,3.14,5.51,9.81,-260.81,15.19,2.84
2020,11,14,9.0,2.84,5.92,10.82,-257.88,17.62,2.35
2020,11,15,10.84,4.05,7.44,12.83,-258.42,18.86,4.12
2020,11,16,11.11,4.73,7.92,13.41,-260.03,17.8,4.69
2020,11,17,9.33,2.18,5.76,10.76,-258.94,16.8,2.58
2020,11,18,10.12,5.85,7.98,11.18,-263.96,14.88,5.69
2020,11,19,8.91,4.51,6.71,10.53,-259.11,17.12,3.08
2020,11,20,8.01,2.27,5.14,10.52,-258.25,17.71,2.81
2020,11,21,9.49,3.35,6.42,11.73,-258.96,17.34,3.15
2020,11,22,10.41,4.9,7.65,12.87,-262.15,17.33,6.33
2020,11,23,10.48,3.95,7.21,12.82,-260.49,18.08,5.41
2020,11,24,10.35,3.57,6.96,12.21,-260.34,17.15,4.33
2020,11,25,10.8,4.15,7.48,12.16,-263.84,16.15,6.85
2020,11,26,10.64,5.17,7.9,12.2,-263.8,16.43,7.08
2020,11,27,7.71,3.3,5.51,9.4,-262.99,13.1,2.94
2020,11,28,9.07,3.84,6.46,10.92,-262.49,14.92,4.26
2020,11,29,8.25,4.71,6.48,9.5,-264.82,13.34,5.01
2020,11,30,10.43,5.48,7.95,12.58,-260.9,17.38,5.13
2020,12,1,10.15,5.12,7.64,11.69,-264.06,15.46,6.37
2020,12,2,9.49,4.17,6.83,11.67,-259.34,17.01,3.2
2020,12,3,9.82,6.59,8.2,11.08,-266.27,13.74,6.87
2020,12,4,9.13,5.83,7.48,10.44,-263.95,13.82,4.62
2020,12,5,9.49,6.61,8.05,10.67,-266.41,13.57,6.83
2020,12,6,9.01,5.84,7.43,10.53,-265.02,14.14,6.01
2020,12,7,8.89,5.97,7.43,10.4,-264.51,13.87,5.23
2020,12,8,10.3,6.06,8.18,12.28,-261.1,17.03,4.98
2020,12,9,10.59,6.62,8.61,12.1,-263.64,16.58,7.07
2020,12,10,11.08,5.56,8.32,12.37,-263.38,15.86,6.08
2020,12,11,8.43,5.28,6.86,9.32,-262.99,14.7,4.55
2020,12,12,10.85,5.9,8.37,12.44,-262.33,17.33,6.51
2020,12,13,10.43,4.64,7.53,12.48,-263.7,16.48,7.02
2020,12,14,11.04,5.34,8.19,13.43,-261.33,18.11,6.29
2020,12,15,8.68,4.13,6.4,10.39,-261.69,15.22,3.75
2020,12,16,8.31,5.15,6.73,9.46,-263.89,12.9,3.65
2020,12,17,7.76,5.94,6.84,8.48,-265.3,12.64,4.8
2020,12,18,8.75,5.83,7.29,9.61,-265.0,12.93,4.78
2020,12,19,10.34,5.38,7.87,12.08,-261.21,17.18,5.25
2020,12,20,9.7,5.62,7.66,11.29,-261.28,15.94,4.07
2020,12,21,10.28,6.51,8.4,11.67,-265.23,15.14,7.21
2020,12,22,9.08,5.75,7.42,10.65,-261.63,14.83,3.32
2020,12,23,7.86,4.31,6.08,9.55,-261.56,14.08,2.48
2020,12,24,9.64,5.27,7.45,11.38,-262.48,15.22,4.55
2020,12,25,7.86,4.4,6.12,9.14,-261.54,14.6,2.99
2020,12,26,7.08,3.54,5.31,8.54,-259.95,15.65,2.44
2020,12,27,7.64,4.49,6.06,9.14,-263.35,13.34,3.54
